,ch1,ch2,ch3,ch4,energies
983,0.08575625200226901,0.04170280432098727,0.06912078152663712,0.006858023130699592,878.7954011821322
984,0.003400742681076728,0.002909846379615054,0.002657906961690539,0.0008856626003679336,337799.26421406004
985,0.0018393222006914353,0.001411135866621616,0.001221790998001586,0.00034502966251518497,966555.5183947016
986,0.01640707466749162,0.014560131453289101,0.012932014083059395,0.005154272315421733,30110.03344481566
987,0.0025920572945751967,0.0018786142291082571,0.0019096599457110112,0.0005414987555543514,568566.1872909643
988,0.029670992841825942,0.017291502634084698,0.023012805177930105,0.005544362100642701,10139.3945767529
989,0.0021778577181062867,0.0017879357530325676,0.0015098602859409372,0.00042592775045757904,712377.458193987
990,0.002558782652941161,0.002210348031218701,0.0020400072382700486,0.0005928109698457,467023.43883273425
991,0.0021531316066808375,0.0016314145544142921,0.0016655124968183177,0.00044098406030704924,605355.1170568522
992,0.0,0.0,0.0,0.0,24.591304254680452
993,0.05999219587343263,0.02778744868696458,0.05021514858312549,0.005567475527292381,2315.951492743151
994,0.001846558457872876,0.0014489155310448347,0.001350347347659436,0.00036330482436646144,846155.3846153894
995,0.0029138359213545513,0.0020956439725590102,0.0019552261795362847,0.0006698988346447042,445962.7626819139
996,0.09412055407264447,0.04358677504153698,0.07760327645079133,0.007948137423362384,580.1323103833379
997,0.002436090306857089,0.0018843599769592767,0.0016512708354945635,0.0004938401042890831,568566.1872909674
998,0.0032896838481069023,0.002720150063783503,0.0026771554725342687,0.000787676714061355,317732.5752508529
999,0.0024095829499383523,0.0019546831229822564,0.0017010162169800956,0.0005383447912204088,518399.4648829389
1000,0.009060392241017257,0.007997700326204272,0.006943351592112518,0.002710822228031782,73587.85953177408
1001,0.0017814211836539443,0.0013785117289384103,0.0013139352441145543,0.0003610361243259967,919733.2441471897
1002,0.002853478481215967,0.002369312179130529,0.0020723316153483198,0.0007383129406935656,384621.53846154874
1003,0.007607949560085896,0.006747307429065436,0.005970386766725494,0.0022795963729297986,93654.54849498655
1004,0.08307919896437263,0.020534089360065393,0.07551247938087091,0.0048449233586902235,115.37832996296609
1005,0.05236247765436549,0.023999347646508573,0.0439230620149659,0.00506952449132212,3759.6749657854702
1006,0.005006965713435733,0.0042386254448809006,0.003740447313244511,0.0013163800509464396,161590.87538960128
1007,0.0021079095053237826,0.0018252733041902126,0.0015998184447338479,0.0005388472314505024,581943.9799331074
1008,0.0025035971270646654,0.002017439951752602,0.0019087034621879408,0.0006312114902847393,471577.1906354523
1009,0.0435178935573869,0.02371274918786548,0.033223083331824096,0.005719115578342367,5964.18494584246
1010,0.0017247705630991572,0.0013406449392313745,0.0011545202645665178,0.0003385067568949804,989966.6555184625
1011,0.0018038893803212503,0.0014529138512770702,0.001255637263537451,0.00032989646668710355,909699.8996655814
1012,0.01028458346117102,0.00927910687012893,0.007994350503191318,0.0032623033834457637,60210.06688963248
1013,0.003977679541945869,0.0034491257503743967,0.0028557926291363383,0.001120260993871874,230776.92307694186
1014,0.07830755332886331,0.0,0.07524160334915571,0.0036636484846886866,77.94415750404951
1015,0.0028650051581503664,0.0024546844191335074,0.002154973837786634,0.0006586355422752327,397999.331103688
1016,0.0017711842279326158,0.0014436739042604048,0.0011883351485333618,0.00035464616125331687,889633.210702355
1017,0.002415980244490056,0.0018343274420957241,0.001632747840510514,0.00048289348557414835,598666.2207357857
1018,0.07319325559231565,0.0298991816116493,0.06009640167440125,0.006051176254538361,1528.8635880587296
1019,0.0021011722395905845,0.0016374013460944924,0.0014388567608248557,0.00041187113426299267,698999.6655518468
1020,0.0032214357776260503,0.002671548086938728,0.002127626051631874,0.0007737804103418861,361210.401337802
1021,0.002043240691966397,0.0017172858095594367,0.0014261632642104387,0.0004232750769856362,675588.5284280943
1022,0.0019725032681808504,0.0015628085644874836,0.0013541843758340883,0.0003968060465029075,759199.7324414753
1023,0.09285736602553366,0.040901759477992086,0.07949772638177566,0.007374520063350625,566.9007271207432
1024,0.0029348453071523363,0.0023058499954871584,0.002100109923427477,0.0007532805465648968,379453.2847237049
1025,0.0017417662766806919,0.0013078468830424932,0.0011770625695785618,0.0003271812478069938,989966.6555184557
1026,0.004194233146852877,0.0033024697930502875,0.003015030538639121,0.0010505196009826905,240810.26755854767
1027,0.0030895254178669434,0.002454899230789362,0.002177149460037151,0.0006779071739537035,397999.33110368875
